"source_path","source_group","format","source_role","final_status","final_destination","final_handling","source_sha256"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/.picasaoriginals/PD_200.png","05/Evolutionary game theory/images","png","archived pre-crop original","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","d6d0ca2626bb5bf82764c5474bb69b4a9db7f96c74f8ec28ae293af414f218c8"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/.picasaoriginals/PD_initial.png","05/Evolutionary game theory/images","png","archived pre-crop original","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","a8f34f3159d5d2de5ce06c78bfb1533a88c9654a39c7a832d5436f19681d6d43"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/.picasaoriginals/schelling.jpg","05/Evolutionary game theory/images","jpg","archived pre-crop original","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","47f5a941662e3f872f8426fcaa8954fb0ad41ff49ceee8ba392ec65c7a3a02b1"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/1-s2.0-S0022519307001439-main.pdf","05/Evolutionary game theory/research article","pdf","copyrighted publisher article PDF","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","7f7f98324a4872261cc12ca56dcfcf7f8a45c5d00ad68977a4c30097800c5b42"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/1-s2.0-S0022519307001439-main.png","05/Evolutionary game theory/research article","png","copyrighted publisher-article first-page raster","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","fdf27ba31250f4feefb0d148e5ecd68c71f1b55773250f165efa357c619b172e"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/1.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","f42542f6d05856f35a72c89a318b17added6ba1a660d2f68389a752322433080"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/2.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","b8ef26f19f357e98df8c23906d6fdf8e8242a86fc483aecfe1e28f80259b0666"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/3.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","07b9da37d9861c0d7e65296c52d9a624e99b21ffa1eca61dba96a918285ec0ea"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/4.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","66468b2571143c885db4c09c686825d823332a1f3d1f0d8671dfc2d650df2971"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/5.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","88b44d0c9ec0ce20818beae7e2b6d0e3b5e7e4cc4b64c4e896e20baf2a1ab620"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/6.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","12dba4936b9a33752123f2cbc33b39af70a203e4893743204af15196c1072975"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/Evolution.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","d38e9218599edbd23c0a81f210b88b920358a3b055f44260d72f494156451171"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_100.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","ea82029bed247c6a3d2230793409361db16c04c95ed1fb98f9e2da9480a1554c"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_200i.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","3e1026117f0cd04294d129ed182252b4c3e61034ce85f334cb76baadb841d475"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_50o.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","7000b1c2a8298ef624ff0ab2ad50044f88c1da347357597174a975a5b54b96f1"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_initial.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","01a4ec6fdaa576cdc93afffebc90f7d65c0e65c95433302d65834313021b76a6"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_initial0.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","3b4a0c0dee0dc71233a2b41e8e2d08d80f38985cc3562f62d6fc395e21f3f892"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/PD_initial1.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","c2479aed3f19f393b406c84f9b2cc0603b7070c151125c5e1b4214694eda86ee"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/RefereeReport.docx","05/Evolutionary game theory/images","docx","blank Word artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Blank document; inventoried and verified, with no substantive material to integrate.","04fb8b3fdbf7e966d404cf004bf3fdc197753806a303f38a3abd255cd76ebe02"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/beatles1.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","2a644bbcc2b6c04f9ec7fdee06b62b4a7a3f6d56a4a54fb5840a6e5efe3a6bbe"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/beatles2.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","3aeb5da801624fffda71ee7b31dbb5a231162270c7e199dfabd747880af87130"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/beatles3.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","d0e4133606bca84d107564dfb8f61da7cf60d270a62c1b539bdad49363816f4d"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/darwin.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","39926ce706ed80e19084c824f3f2a11a9297a0f9c3b2394c4c6d43d135ef4dd0"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/darwin0.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","3aba5f28050a106e9ffe6d09a1cee36d2f9c775ac32cb597cfbca9dd944ea176"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/ethnocentrism.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","1cd37faa15c5c721b542bfda6d6da69e3193afae1aa55883c36dbf835b9ffd86"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/ethnocentrism0.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","ad033d270405e4491f826d92bb0e2e1e99da198a8b26808a5ecb84b1b1ffa64a"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/ethnocentrism_explanation.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","7d3f69a582e6ae5379154fc7475e7deb1990222e10f808b9dd068166795e4fe3"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/ethnocentrism_initial.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","6a8720040c71c6fe31bef13af618aeeab7767bf1c2097516d2a76a9899a93650"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/ethnocentrism_initial0.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","b24f3125de0a330977f7dfcceaeca080819d14553f2dc84da07119579a007322"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/giraffes.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","f493a355d8030c6e0776fd01bf212e2fc5ffc6c9a5f1df66b7ecf6bf7d92710f"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/hawkdove1.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","c69bea55fa39f630d35c8cf9187ee3bb611688cf95e0ce453ffb60e7bfcdea9c"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/hawkdove2.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","4395782805b2460f7868756ad1107ee5dbbbec978e8f115740b029907c44dc62"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/hawkdove3.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","c15f785cc2f55e750944a2cbb999a89f3fd85eb51ba60973aa78baa1c741d899"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/neighbors.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","aef2032f2565efc4ba0ca8770a2fc6c3fd5fd36a1f04ce05cbebade6f76f219d"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/schelling.jpg","05/Evolutionary game theory/images","jpg","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","08d9862e6f4e60fdcbd39db3a30de7a24f21fc351d95163f16d7df66d6842324"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/segregation_equilibrium.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","967bee083a8c2c69facf2ba51fa4d219bcfadc4291305f93fa4d86c764107e2b"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/segregation_initial.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","fff46f9a01f191522c600032eeb545287381d1e470ba3581ca340c23f93f0426"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/segregation_update1.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","9d56810da31b535557d458014a51aaee50947ead60ee8da3deb250540bead76f"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/staghunt1.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","b8802f5456b11c5218a0e3c45cb9ebe424818d9e1928c539d706d006501b4be9"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/staghunt2.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","ef22fcfba3e882b134f5f292c3d3af7fd5693c254cf4a472139286b080f21a7b"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/staghunt3.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","dfb355e2b9ddbca2c8179c1a8efe3fa7f5a334e61b9c3ef1b63ec523cae9f6f7"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/staghunt4.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","7d0ed4a0e6c79b5d002187c7a991885af4194c08db95750a93d724dea69c6e8a"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/strategy_dynamics.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","e45bc27dd6ab63f7b2ac692e6b507bd133a5f3562efdb62fe578af09aae6e761"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/strategy_dynamics0.png","05/Evolutionary game theory/images","png","lecture image asset","not_reused_rights_or_provenance","Chapter 29: advanced evolutionary-game layer","Source raster was not copied or cosmetically modified; the underlying concept was independently redrawn or regenerated where verifiable.","2e9acce7381e5d3c9480108d017ac9448edd19ca38f0604ceaf9ee0f636f3cd3"
"05. Habit and Behavior Design.pptx","03 Habits and behavior design","pptx","recent 26-slide synthesis; unsafe as citation authority","supporting_duplicate","Chapters 44–48: habits, self-control, behavior and decision design","No double counting: integrated through the named canonical source or source family.","fc966d79ef6fb7f9accb91c145d64d1a8871e891b18813d0933b73759a7d883c"
"06 - Time, Money and Finance/14. Asset Bubbles.pdf","06/Asset bubbles","pdf","student-facing PDF handout/export","supporting_duplicate","Chapter 25: Asset Bubbles","No double counting: integrated through the named canonical source or source family.","124b25b7208771479eb2929287aa86ad330581ac5cfd17cb4bf8709161fb25f9"
"06 - Time, Money and Finance/14. Asset Bubbles.pptx","06/Asset bubbles","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 25: Asset Bubbles","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","48742da32a2ae8631e3e7d41bab6ffa2a285a48905ef2fa94779b52ebb0cac37"
"06 - Time, Money and Finance/15. Investment Decisions.pdf","06/Behavioral finance and investment decisions","pdf","student-facing PDF handout/export","supporting_duplicate","Chapter 24: Behavioral Finance","No double counting: integrated through the named canonical source or source family.","fe2e9f9f9f26ab9e1fbd7db8b6ca04155262bf030e10c513c1b31038787d329b"
"06 - Time, Money and Finance/15. Investment Decisions.pptx","06/Behavioral finance and investment decisions","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 24: Behavioral Finance","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","bb7623ee5d3fb0efffaee430b19057c29b6884527a36c5d2c4ca25ebff2f8c35"
"06 - Time, Money and Finance/16. Intertemporal Decision-Making.pdf","06/Intertemporal choice","pdf","student-facing PDF handout/export","supporting_duplicate","Chapter 22: Intertemporal Decision-Making; bridge to Chapter 26","No double counting: integrated through the named canonical source or source family.","3b30514d9fd68089e913ae0d6fb859f42f4e9490bda74dd0d7720a34848d958c"
"06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx","06/Intertemporal choice","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 22: Intertemporal Decision-Making; bridge to Chapter 26","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","de81827d906a52efebf4ef225e543682f5d5e4293712524a96f98cf61d8df3d0"
"06 - Time, Money and Finance/19. Mental Acounting.pdf","06/Mental accounting","pdf","student-facing PDF handout/export","supporting_duplicate","Chapter 23: Mental Accounting","No double counting: integrated through the named canonical source or source family.","24eea7093077a5807e8549afdd8a5ceecb40f7f8ebe18622e0c4d37e284e128e"
"06 - Time, Money and Finance/19. Mental Acounting.pptx","06/Mental accounting","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 23: Mental Accounting","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","7ec30f77c8c4285a85bdc3ce4b0f800b62e7ac226a0a95e3d010370b8317966f"
"06 - Time, Money and Finance/Money and the Mind.pptx","06/Money and mind composite","pptx","legacy composite deck","supporting_duplicate","Chapters 23–25: mental accounting, finance, and bubbles","No double counting: integrated through the named canonical source or source family.","b9af3b496733d1c6ce3e6962e97c60a8f72c8bc8d615464614fdf672471740ac"
"07 - Decision from Experience and Operations/0x. Market Experiment.pptx","07/Market experiment","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 27 and Appendix C: market institutions and experimental evidence","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","ee15e20668a630657c85ebf39ccd4c21f57473b71066e1edc5c488eee890c144"
"07 - Decision from Experience and Operations/20. Newsvendor problem.pdf","07/Newsvendor/operations","pdf","PDF lecture source/handout","incorporated_via_source_family","Chapter 19: newsvendor application","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","4e4a349c7c71d61f196d8a297ed6a422590951baf9b2e2d818ae579820e27b86"
"07 - Decision from Experience and Operations/22. Decision making from expereience.pdf","07/Decision from experience","pdf","PDF lecture source/handout","incorporated_via_source_family","Chapter 21: Decisions from Experience","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","439c6d17ab00ddac7ad86ee19334122353616210eccf38b81f890d27e9ab85c9"
"07 - Decision from Experience and Operations/23. Decision from Experience.pptx","07/Decision from experience","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 21: Decisions from Experience","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","7c796e605e94a0fa527f1beeb929ece9e833fff776f50ce5e61722bdb333af2b"
"08 - Research Methods/17. Conduct Research in Behavioral Economics.pdf","08 - Research Methods","pdf","visible-slide PDF export / derivative","supporting_duplicate","Appendix C: How Behavioral Evidence Is Built","No double counting: integrated through the named canonical source or source family.","3345d80502bf06becf857140b0eefb58e2aa50a8c55b0213eca485bb87071745"
"08 - Research Methods/17. Conduct Research in Behavioral Economics.pptx","08 - Research Methods","pptx","canonical editable methods deck","incorporated_via_source_family","Appendix C: How Behavioral Evidence Is Built","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","15b671692733b8913fce9fda04372e238bc14fc7982305b0f3fb785a690eab88"
"08 - Research Methods/18. Formulate Research Questions.pdf","08 - Research Methods","pdf","visible-slide PDF export / older derivative","supporting_duplicate","Appendix C: How Behavioral Evidence Is Built","No double counting: integrated through the named canonical source or source family.","33d05709a92f02c093150678a2c02079328584a2242117bcbca1f05a25032888"
"08 - Research Methods/18. Formulate Research Questions.pptx","08 - Research Methods","pptx","canonical editable RQ/ABT deck","incorporated_via_source_family","Appendix C: How Behavioral Evidence Is Built","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","49509ad1ac652a1734e726178586edd172c6d63f6cbdfe0277657e08f47d7283"
"08 - Research Methods/25. Threats in Running Experiments.pptx","08 - Research Methods","pptx","canonical editable threats-to-inference deck","incorporated_via_source_family","Appendix C: How Behavioral Evidence Is Built","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","e89dc867b2de2caf8450445c55ed35687ddbc580c7d85be651fa485719365941"
"08 - Research Methods/Formulate Research Questions - Thesis.pdf","08 - Research Methods","pdf","visible-slide PDF export / derivative","supporting_duplicate","Appendix C: How Behavioral Evidence Is Built","No double counting: integrated through the named canonical source or source family.","b8564c42a091239c1fe4de03f999be129b09435d6ae8f65b01437be163a1abdf"
"08 - Research Methods/Formulate Research Questions - Thesis.pptx","08 - Research Methods","pptx","thesis-oriented variant / near-duplicate","supporting_duplicate","Appendix C: How Behavioral Evidence Is Built","No double counting: integrated through the named canonical source or source family.","102a4101e39b81665c85710eb9d51cfab0370b69f92ce6fea3e330c92a34390d"
"08. Strategic Interdependence.pptx","05/Strategic interdependence","pptx","condensed root synthesis/index","incorporated_via_source_family","Chapters 27–28: strategic interdependence and behavioral game theory","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","ebafeb3636dbdbe3c0fa39c339b4d595f266b018276f64b65aa965326af96abc"
"09 - Additional Topics/.DS_Store","09 - Additional Topics","none","macOS administrative artifact","excluded_noncontent","none","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","1264059582f53acb4057f5ae26455b90a4ff3193f8dc39a28595b56364da75ca"
"09 - Additional Topics/20. Happiness.pptx","09 - Additional Topics / happiness and behavioral finance","pptx","mixed legacy deck","incorporated_via_source_family","Chapters 24 and 26","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","39d3370122afc93442eeb00ed8aa69ed8b06c1c1f13f446a33f549282389bb3a"
"09 - Additional Topics/ABT.pdf","09 - Additional Topics / ABT","pdf","legacy ABT handout","incorporated_via_source_family","Chapter 36: evidence-aligned narrative and ABT","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","22aa20bce3494a746c8954c3a9841cd0107af041c72ecf49133ed3efdcca795e"
"09 - Additional Topics/Existing Additional Topics/146 Happiness.pdf","09 - Additional Topics / subjective well-being","pdf","canonical compact SWB teaching handout","incorporated_via_source_family","Chapter 26: Subjective Well-Being","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","08838a3bd4155fd74f5682070055e0fa886b09a084f58bb99559634862e12396"
"09 - Additional Topics/Existing Additional Topics/16. Happiness_presentation.pdf","09 - Additional Topics / subjective well-being","pdf","older reveal-build presentation / duplicate","supporting_duplicate","Chapter 26: Subjective Well-Being","No double counting: integrated through the named canonical source or source family.","87eb17aacb3cd0c756a5f9f5add6b5e700d6b93ac4c50147f67c088d04e5975d"
"09 - Additional Topics/Existing Additional Topics/16. SWB_WVS.pdf","09 - Additional Topics / subjective well-being","pdf","single-page copied results table","not_reused_rights_or_provenance","Chapter 26: Subjective Well-Being","Unsafe derivative was not reproduced; claims were checked against an authoritative source or omitted.","3b7fd4862802bafde2e69e9d2530d74ca1e6e968f5ebaf0bc859b8a6b9be0b31"
"09 - Additional Topics/Existing Additional Topics/16. SWB_contries.pdf","09 - Additional Topics / subjective well-being","pdf","single-page copied country table","not_reused_rights_or_provenance","Chapter 26: Subjective Well-Being","Unsafe derivative was not reproduced; claims were checked against an authoritative source or omitted.","31359da1679695570c7507d94cadeb73ba0fe20678062387fba1ba36bb8c5274"
"09 - Additional Topics/Existing Additional Topics/18. Cooperation.pdf","09 - Additional Topics / cooperation","pdf","canonical compact cooperation lecture","incorporated_via_source_family","Chapter 29: cooperation and social preferences","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","c64e6f06e0b548d4635454e37d3944c53a36abc3fcfee5ab2df8b2422c50816b"
"09 - Additional Topics/Existing Additional Topics/18. Cooperation_presentation.pdf","09 - Additional Topics / cooperation","pdf","older reveal-build presentation / duplicate","supporting_duplicate","Chapter 29: cooperation and social preferences","No double counting: integrated through the named canonical source or source family.","da01af6d529c64424a328758c5bc8271eb1df2863648142761e2f92178d3e184"
"09 - Additional Topics/Existing Additional Topics/18. EvolutionaryGameTheory.pdf","09 - Additional Topics / evolutionary game theory","pdf","legacy theory lecture","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","1a1837adf5410589da18fca6623cf3fead56d6e1b053797498b1fd520a366a5c"
"09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx","09 - Additional Topics / legacy decision theory","pptx","legacy comprehensive teaching compendium","incorporated_via_source_family","Chapters 2, 19, and 20","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","756049f9d20bf24bd1499fdc4cad9ba713a5493d3c53c013ad0c40ec7d12001c"
"09 - Additional Topics/Existing Additional Topics/Newsvendor Experiment.pptx","09 - Additional Topics / risk elicitation and operations","pptx","small experimental-results deck","incorporated_via_source_family","Chapter 19: risky choice and the newsvendor application","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","e85bfe817c90b7516511d7cf952a5d05d4c8e3d3be8d165fcbbd5b7b983a58ad"
