Concept,Initial home,Reviewed home,Status,Editorial note,Reviewed book file,Initial matched section,First lexical source,Slide/page
Prominence hypothesis,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Preference reversal: choosing is not the same task as pricing {#preference-reversal-and-prominence},"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",115
Framing,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,33
Risky-choice framing,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",,
Attribute framing,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",,
Goal framing,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",,
Gain versus loss frame,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,28
Misinformation effect,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Framing memory and causality,BE-Aalborg/08 - Research Methods/18. Formulate Research Questions.pptx,52
False memory,12,12,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Framing memory and causality,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Communicative framing,12,12,placement or scope resolved,"Covered in questions that contain an answer and framing in management, negotiation, and policy; the label is broader than a distinct missing mechanism.",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Opening / chapter overview,DPN-Aalborg/07. Communication and Connection.pptx,5
Priming,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Accessible concepts interpret ambiguity,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Semantic priming,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Accessibility: memory prepares an answer,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,39
Conceptual priming,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,14
Affective priming,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Accessible concepts interpret ambiguity,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,39
Context-dependent memory,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Accessibility: memory prepares an answer,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,54
Encoding specificity,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Context-dependent memory: the setting can supply a cue {#context-dependent-memory},BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,54
Processing fluency,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Familiarity and cognitive ease,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,89
Cognitive ease,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Familiarity and cognitive ease,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Mere-exposure effect,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Illusory-truth effect,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,98
Source monitoring,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,,
Subliminal cues,13,13,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/13-accessibility-familiarity-and-ease.qmd,Research note: processing masked cues {#evidence-boundary-concealed-cues-are-not-mind-control-title},BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,19
Base rates,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Reference classes are judgment calls,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,37
Conditional probability,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Practice Lab,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",54
Bayesian updating,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Practice Lab,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",22
Natural frequencies,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Natural frequencies make Bayes visible,DPN-Aalborg/Decision_Making_Enriched_Book.docx,
Likelihood ratio,14,14,placement or scope resolved,Bayesian updating and likelihoods are worked numerically. No separate likelihood-ratio teaching requirement was found; an extra odds-form derivation was not added.,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Opening / chapter overview,,
Reference class,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Natural frequencies make Bayes visible,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,14
Conjunction rule,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Learning goals,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",55
Disjunction rule,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Reference classes are judgment calls,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",55
Independence,14,14,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Conditional direction matters,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,31
Law of small numbers,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Small samples swing widely,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",20
Gambler's fallacy,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Streaks require a process model,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,52
Hot-hand effect,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Streaks require a process model,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",20
Random clusters,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Clusters and the search for causes,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/Impact_ML_on_Econ_Summary.pptx",3
Regression to the mean,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Test the width of your uncertainty,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",24
Overconfidence,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Illusion of control: did the action change the odds? {#illusion-of-control},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Overestimation,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Overplacement,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Overprecision,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Dunning-Kruger,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Test the width of your uncertainty,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",63
Planning fallacy,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Inside view,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Practice Lab,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,23
Outside view,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Practice Lab,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,23
Calibration,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,32
Resolution,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Calibration makes confidence answerable,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,39
Brier score,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Calibration makes confidence answerable,DPN-Aalborg/additional topics/_Needs Classification/Strategic and Data-Driven Decision Making Synthesis Deck.pptx,85
Illusion of control,15,15,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/15-samples-randomness-regression-and-calibration.qmd,Regression to the mean,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",31
Expected value,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,26
Expected utility,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,16
Certainty equivalent,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: every elicitation task measures a bundle,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",12
Risk aversion,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,36
Ambiguity aversion,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,The Ellsberg urn: risk is not ambiguity,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,83
Allais paradox,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Expected utility: value over final consequences,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",33
Ellsberg paradox,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,The Ellsberg urn: risk is not ambiguity,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",38
St. Petersburg paradox,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Application box: the single-period newsvendor,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",7
Compounding,16,19,placement or scope resolved,Interest compounding has its own section in Chapter 19; Chapter 16 separately handles repeated multiplicative risk and ruin.,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Opening / chapter overview,,
Geometric mean,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: a positive arithmetic average can conceal multiplicative collapse,,
Probability of ruin,16,16,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: a positive arithmetic average can conceal multiplicative collapse,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Kelly criterion,16,16,placement or scope resolved,"The named criterion occurred in a supplemental third-party PDF, not the inspected core teaching units. Retained the book's growth, risk, and ruin discussion without adding an investment-sizing prescription.",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Opening / chapter overview,DPN-Aalborg/Behavioral economics for the workplace 6 lessons.pdf,28
Prospect theory,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Framing changes the comparison; check equivalence {#framing-changes-the-reference-point-but-equivalence-must-be-checked},BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Reference dependence,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The value function: sensitivity diminishes with distance,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Loss aversion,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,A practical ownership test,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,57
Diminishing sensitivity,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The value function: sensitivity diminishes with distance,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,2
Probability weighting,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Worked calculation: a low-probability gain,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",19
Fourfold pattern,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The fourfold pattern of risk attitudes,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",4
Certainty effect,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Certainty and possibility are psychological boundaries,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",33
Endowment effect,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Research Lens: related phenomena require separate diagnoses,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
IKEA effect,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,A practical ownership test,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
Status quo bias,17,17,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The IKEA effect: labor can create value {#the-ikea-effect-labor-can-create-value-without-proving-loss-aversion},"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
Description-experience gap,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Four sources-of-information situations {#four-epistemic-states},BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,2
Rare-event sampling,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Four sources-of-information situations {#four-epistemic-states},"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",36
Optional stopping,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Stopping is part of the evidence,"BE-Aalborg/Readings/03 - Priming and Goal Setting/Priming, Subliminal Messaging, and Positive Thinking_ A Scientific Review and the Replication Crisis.docx",
Recency,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Stopping is part of the evidence,BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,19
Contingent sampling,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Recent and memorable outcomes receive more influence,BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,19
Reinforcement learning,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Beyond rare-event lotteries,"BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",83
Exploration-exploitation trade-off,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,A decision record for experiential learning,DPN-Aalborg/DPN07. Communication & Connection.pptx,9
Normalcy bias,18,18,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Locals and visitors can encounter different risk signals,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",124
Intertemporal choice,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Applied Lens: compare the complete time stream,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Exponential discounting,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",16
Hyperbolic discounting,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",22
Present bias,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Why delay changes more than mathematical value,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",20
Dynamic inconsistency,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,29
Magnitude effect,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Amount, sign, wording, search, and domain","BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",23
Sign effect,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Amount, sign, wording, search, and domain","BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",25
Date-delay framing,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,15
Hidden-zero effect,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,What did the patience task identify?,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",23
Subjective time,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",DPN-Aalborg/DPN01. Decision Process.pptx,41
Anticipation,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,5
Episodic future thinking,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,The future must become believable and self-relevant,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",33
Future-self continuity,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,19
Precommitment,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Design the bridge, not only the destination",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,23
Scarcity and bandwidth,19,19,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Scarcity and trust: when now is rational,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,13
Mental accounting,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,A mental-accounting audit,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,1
Fungibility,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Label and bracket: useful budgets that can become walls,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,20
Acquisition utility,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Four operations: label, bracket, couple, and close",BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,7
Transaction utility,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Four operations: label, bracket, couple, and close",BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Sunk costs,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Couple: when consumption repays a purchase,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,112
Escalation of commitment,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Close: sunk costs and the pain of closing an account,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,112
Payment coupling,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Learning goals,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,98
