Concept,Home,Book file,Section,Body match,Lecture source,Slide/page
St. Petersburg paradox,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Application box: the single-period newsvendor,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",7
Compounding,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Opening / chapter overview,False,,
Geometric mean,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: a positive arithmetic average can conceal multiplicative collapse,True,,
Probability of ruin,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: a positive arithmetic average can conceal multiplicative collapse,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Kelly criterion,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Opening / chapter overview,False,DPN-Aalborg/Behavioral economics for the workplace 6 lessons.pdf,28
Prospect theory,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Framing changes the comparison; check equivalence {#framing-changes-the-reference-point-but-equivalence-must-be-checked},True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Reference dependence,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The value function: sensitivity diminishes with distance,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Loss aversion,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,A practical ownership test,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,57
Diminishing sensitivity,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The value function: sensitivity diminishes with distance,True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,2
Probability weighting,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Worked calculation: a low-probability gain,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",19
Fourfold pattern,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The fourfold pattern of risk attitudes,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",4
Certainty effect,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Certainty and possibility are psychological boundaries,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",33
Endowment effect,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,Research Lens: related phenomena require separate diagnoses,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
IKEA effect,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,A practical ownership test,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
Status quo bias,17,chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd,The IKEA effect: labor can create value {#the-ikea-effect-labor-can-create-value-without-proving-loss-aversion},True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx",5
Description-experience gap,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Four sources-of-information situations {#four-epistemic-states},True,BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,2
Rare-event sampling,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Four sources-of-information situations {#four-epistemic-states},True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",36
Optional stopping,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Stopping is part of the evidence,True,"BE-Aalborg/Readings/03 - Priming and Goal Setting/Priming, Subliminal Messaging, and Positive Thinking_ A Scientific Review and the Replication Crisis.docx",
Recency,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Stopping is part of the evidence,True,BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,19
Contingent sampling,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Recent and memorable outcomes receive more influence,True,BE-Aalborg/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,19
Reinforcement learning,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Beyond rare-event lotteries,True,"BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",83
Exploration-exploitation trade-off,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,A decision record for experiential learning,True,DPN-Aalborg/DPN07. Communication & Connection.pptx,9
Normalcy bias,18,chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,Locals and visitors can encounter different risk signals,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",124
Intertemporal choice,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Applied Lens: compare the complete time stream,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Exponential discounting,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",16
Hyperbolic discounting,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",22
Present bias,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Why delay changes more than mathematical value,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",20
Dynamic inconsistency,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Present bias and preference reversal,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,29
Magnitude effect,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Amount, sign, wording, search, and domain",True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",23
Sign effect,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Amount, sign, wording, search, and domain",True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",25
Date-delay framing,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,15
Hidden-zero effect,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,What did the patience task identify?,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",23
Subjective time,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",True,DPN-Aalborg/DPN01. Decision Process.pptx,41
Anticipation,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",True,BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,5
Episodic future thinking,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,The future must become believable and self-relevant,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",33
Future-self continuity,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Credibility, attention, and imagination",True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,19
Precommitment,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,"Design the bridge, not only the destination",True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,23
Scarcity and bandwidth,19,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Scarcity and trust: when now is rational,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,13
Mental accounting,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,A mental-accounting audit,True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,1
Fungibility,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Label and bracket: useful budgets that can become walls,True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,20
Acquisition utility,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Four operations: label, bracket, couple, and close",True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,7
Transaction utility,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Four operations: label, bracket, couple, and close",True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Sunk costs,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Couple: when consumption repays a purchase,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,112
Escalation of commitment,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Close: sunk costs and the pain of closing an account,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,112
Payment coupling,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Learning goals,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,98
Pain of paying,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Bracket for experience: hedonic editing,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Mental budgets,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,A mental-accounting audit,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Choice bracketing,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
House-money effect,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Break-even effect,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Disposition effect,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Hedonic editing,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Bracket: one decision or a portfolio?,True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,48
Naive diversification,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},True,,
Diversification bias,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},True,,
1/n heuristic,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,51
Daily income targets,20,chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},True,,
Habit formation,21,chapters/21-habits-wanting-and-self-control.qmd,Learning goals,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Automaticity,21,chapters/21-habits-wanting-and-self-control.qmd,Research note: what counts as evidence of a habit?,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,27
Cue-response learning,21,chapters/21-habits-wanting-and-self-control.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Positive reinforcement,21,chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,48
Negative reinforcement,21,chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,True,,
Reward prediction error,21,chapters/21-habits-wanting-and-self-control.qmd,Research note: unexpected outcomes and dopamine,True,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,18
Dopamine,21,chapters/21-habits-wanting-and-self-control.qmd,Research note: what counts as evidence of a habit?,True,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,2
Incentive salience,21,chapters/21-habits-wanting-and-self-control.qmd,Wanting can outlast liking {#wanting-can-outlast-liking},True,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Wanting versus liking,21,chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,32
Ego depletion,21,chapters/21-habits-wanting-and-self-control.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,27
Urge surfing,21,chapters/21-habits-wanting-and-self-control.qmd,Make room for an urge {#create-space-without-demanding-that-the-urge-disappear},True,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,30
RAIN,21,chapters/21-habits-wanting-and-self-control.qmd,Optional practice: observing an urge with BRAIN,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
BRAIN,21,chapters/21-habits-wanting-and-self-control.qmd,Optional practice: observing an urge with BRAIN,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,16
Marshmallow test,21,chapters/21-habits-wanting-and-self-control.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,28
Self-control,21,chapters/21-habits-wanting-and-self-control.qmd,Changing the routine before the next difficult sentence,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,17
Subjective well-being,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Bridge: a better life is not made alone,True,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/146 Happiness.pdf,9
Life satisfaction,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/146 Happiness.pdf,14
Hedonic well-being,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,48
Eudaimonic well-being,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,BE-Aalborg/09 - Additional Topics/Mind Magic.pptx,40
Predicted utility,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,,
Decision utility,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,"BE-Aalborg/03 - Context, Habits and Choice Architecture/05. Habit and Behavior Design.pdf",9
Experienced utility,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,"One word, several targets",True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Remembered utility,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",72
Affective forecasting,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,2
Impact bias,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Focalism,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,True,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx,31
Projection bias,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Impact bias and focalism,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Peak-end rule,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,After the outcome: memory edits experience,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Duration neglect,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,After the outcome: memory edits experience,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Hedonic adaptation,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,87
Focusing illusion,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Social comparison and the focusing illusion,True,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,9
Income and happiness,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,A well-being decision audit,True,BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,14
Social comparison,22,chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,"Adaptation: selective, incomplete, and morally easy to misuse",True,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,40
Strategic interdependence,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,See the game before solving it,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Best response,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Application: run a strategic audit before giving advice,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Nash equilibrium,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,See the game before solving it,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,30
Prisoner's dilemma,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,53
Coordination game,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,First diagnose the strategic problem,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,1
Focal points,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,"Ethics: cooperation for whom, commitment against whom?",True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,15
Stag hunt,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,"Focality, payoff dominance, and evidence",True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,90
Chicken game,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Research Lens: three additional strategic structures,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,99
Battle of the sexes,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Volunteer's dilemma,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,99
Volunteer's dilemma,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,First diagnose the strategic problem,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,103
Commitment,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Application: run a strategic audit before giving advice,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,23
Dollar auction,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Research Lens: the €50 auction and competitive escalation,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",107
Unraveling,23,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,28
Level-k,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,"Three lenses, three questions",True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Cognitive hierarchy,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Limited strategic depth: level-*k*,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Beauty contest,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Cognitive hierarchy: best respond to a mixture,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,19
Experience-weighted attraction,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Opening / chapter overview,False,,
Quantal response,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Opening / chapter overview,False,,
Strategic learning,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Application: choose the model after diagnosing the process,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Equilibrium versus behavior,24,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Advanced research track: evolutionary and spatial models,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,3
Social preferences,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different",True,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,13
Altruism,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},True,"BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",54
Inequity aversion,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},True,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,45
Reciprocity,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,3
Ultimatum game,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,75
Dictator game,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Ultimatum game: fairness has strategic force,True,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,2
Trust game,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Punishment can enforce cooperation—and create another dilemma,True,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,3
Public goods,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Cross-cultural, comparative, and neural evidence generate hypotheses",True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,60
Conditional cooperation,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Applied case: large stakes do not remove context,True,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/__From Perception to Choice_ Understanding the Dimensions of Decision Making__.docx",
Costly punishment,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different",True,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",62
Repeated cooperation,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Compare the cooperation mechanisms,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,43
Reputation,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Assortment,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",True,BE-Aalborg/05 - Strategic and Social Decisions/22. Evolution of Cooperation.pptx,5
Intention-based reciprocity,25,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different",True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,10
Social learning,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,87
Mimicry,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Copying and cumulative culture,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,11
Informational influence,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Normative influence,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Conformity,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Social proof,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Descriptive norm,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,21
Injunctive norm,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,21
Dynamic norm,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,88
Pluralistic ignorance,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,True,,
False consensus,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,True,DPN-Aalborg/DPN07. Communication & Connection.pptx,20
Information cascades,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",True,BE-Aalborg/05 - Strategic and Social Decisions/21. Evolutionary Game Theory.pptx,53
Herding,26,chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pdf",5
Market efficiency,27,chapters/27-markets-mispricing-and-bubbles.qmd,The €20 note and three meanings of efficiency,True,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,8
Efficient market hypothesis,27,chapters/27-markets-mispricing-and-bubbles.qmd,The €20 note and three meanings of efficiency,True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Joint-hypothesis problem,27,chapters/27-markets-mispricing-and-bubbles.qmd,Every efficiency test is a joint test,True,,
Limits to arbitrage,27,chapters/27-markets-mispricing-and-bubbles.qmd,Evidence Boundary: an anomaly is not a mechanism or a trade,True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,1
Mispricing,27,chapters/27-markets-mispricing-and-bubbles.qmd,Limits to arbitrage: seeing an error is not enough,True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Asset bubbles,27,chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Greater-fool reasoning,27,chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,True,DPN-Aalborg/Decision_Making_Enriched_Book.docx,
Synchronization risk,27,chapters/27-markets-mispricing-and-bubbles.qmd,A bubble is a reinforcing-process hypothesis,True,,
Momentum,27,chapters/27-markets-mispricing-and-bubbles.qmd,"Research Lens: five patterns, five open diagnoses {#research-lens-five-patterns-five-open-diagnoses-title}",True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,34
